from,to
1st Gear,Synchronizer Ring Set No.1
1st Gear Bearing Spacer,1st Gear Needle Roller Bearing
1st Gear Needle Roller Bearing,1st Gear
1st Gear Thrust Washer,1st Gear Bearing Spacer
1st Gear Thrust Washer Pin,1st Gear Thrust Washer
2nd Gear,Synchronizer Ring Set No.1
2nd Gear Needle Roller Bearing,2nd Gear
3rd Gear,Synchronizer Ring No.2
3rd Gear Needle Roller Bearing,3rd Gear
5th Gear,Output Shaft center Bearing
5th Gear Thrust Washer,5th Gear Thrust Washer Pin
Bearing Shaft Snap Ring,Synchronizer Ring Set No.1
Clutch Hub Set Shaft Snap Ring,Input Shaft Bearing
Counter 5th Gear,Counter 5th Gear Bearing
Counter 5th Gear Bearing,5th Gear Thrust Washer
Counter Gear,Intermediate Plate
Counter Gear Front Bearing,Counter Gear Front Bearing Snap Ring No.2
Counter Gear Front Bearing Snap Ring No.2,Transmission Case
Counter Gear Rear Shaft Snap Ring,Gear Spline Piece No.5
Counter Shaft Center Bearing,Intermediate Plate
Front Bearing Shaft Snap Ring,Transmission Case
Gear Spline Piece No.5,Synchronizer Ring Outer No.3
Input Shaft,Input Shaft Front Bearing
Input Shaft Bearing,Synchronizer Ring No.2
Input Shaft Front Bearing,Front Bearing Shaft Snap Ring
Output Shaft,3rd Gear Needle Roller Bearing
Output Shaft Bearing Shaft Snap Ring,5th Gear
Output Shaft Bearing Snap Ring,5th Gear
Output Shaft Center Bearing,1st Gear Thrust Washer
Output Shaft Rear Bearing,Output Shaft Bearing Shaft Snap Ring
Output Shaft Rear Bearing Retainer,Output Shaft Bearing Shaft Snap Ring
Output Shaft Rear Snap Ring,Output Shaft Rear Bearing Retainer
Rear Bearing Spacer,Output Shaft Rear Bearing
Rear Retainer Bolt 1,Output Shaft Rear Bearing Retainer
Rear Retainer Bolt 2,Output Shaft Rear Bearing Retainer
Rear Retainer Bolt 3,Output Shaft Rear Bearing Retainer
Rear Retainer Bolt 4,Output Shaft Rear Bearing Retainer
Reverse Gear,Bearing Shaft Snap Ring
Reverse Idler Gear,Reverse Idler Gear Shaft
Reverse Idler Gear Shaft,Intermediate Plate
Synchromesh Shifting Key 1,Transmission Clutch Hub No.2
Synchromesh Shifting Key 1.001,Transmission Clutch Hub No.2
Synchromesh Shifting Key 2,Transmission Clutch Hub No.2
Synchromesh Shifting Key 2.001,Transmission Clutch Hub No.2
Synchromesh Shifting Key 3,Transmission Clutch Hub No.2
Synchromesh Shifting Key 3.001,Transmission Clutch Hub No.2
Synchromesh Shifting Key Spring,Clutch Hub Set Shaft Snap Ring
Synchromesh Shifting Key Spring2 1,Transmission Clutch Hub No.2 (2)
Synchromesh Shifting Key Spring2 2,Transmission Clutch Hub No.2 (2)
Synchromesh Shifting Key Spring2 3,Transmission Clutch Hub No.2 (2)
Synchronizer Ring No.2,Intermediate Plate
Synchronizer Ring Set No.1,Transmission Clutch Hub No.2 (2)
Synchronizer Ring Set No.1 Second,Reverse Gear
Transmission Clutch Hub No.2,Synchromesh Shifting Key Spring
Transmission Clutch Hub No.2 (2),Reverse Gear
Transmission Hub Sleeve No.2,Synchromesh Shifting Key Spring